Step,E_pot,E_kin,Temp,AddedToTrainingSet
146,-125.0419,3.1718,613.5,FALSE
147,-125.0449,3.2961,637.5,FALSE
148,-125.0479,3.3226,642.6,FALSE
149,-125.0511,3.4041,658.4,FALSE
150,-125.0552,3.4325,663.9,FALSE
151,-125.059,3.5946,695.2,FALSE
152,-125.0628,3.5684,690.2,FALSE
153,-125.0668,3.5303,682.8,FALSE
154,-125.0707,3.5951,695.3,FALSE
155,-125.0745,3.486,674.2,FALSE
156,-125.0773,3.4927,675.5,FALSE
157,-125.0794,3.4769,672.5,FALSE
158,-125.081,3.4918,675.3,FALSE
159,-125.0812,3.446,666.5,FALSE
160,-125.0813,3.4914,675.3,FALSE
161,-125.0813,3.4558,668.4,FALSE
162,-125.0811,3.3669,651.2,FALSE
163,-125.0806,3.2481,628.2,FALSE
164,-125.0797,3.1509,609.4,FALSE
165,-125.0788,3.0844,596.5,FALSE
166,-125.0779,3.1605,611.3,FALSE
167,-125.0767,3.1257,604.5,FALSE
168,-125.0759,3.1099,601.5,FALSE
169,-125.0748,3.0697,593.7,FALSE
170,-125.0734,3.027,585.5,FALSE
171,-125.0716,2.9457,569.7,FALSE
172,-125.0698,3.0012,580.5,FALSE
173,-125.0679,2.9874,577.8,FALSE
174,-125.0658,3.0083,581.8,FALSE
175,-125.0632,3.0422,588.4,FALSE
176,-125.0601,3.0379,587.6,FALSE
177,-125.0572,3.0552,590.9,FALSE
178,-125.0538,3.028,585.6,FALSE
179,-125.0508,3.008,581.8,FALSE
180,-125.0476,2.9501,570.6,FALSE
181,-125.0446,2.9976,579.8,FALSE
182,-125.0419,2.9565,571.8,FALSE
183,-125.0397,2.9678,574,FALSE
184,-125.0376,3.06,591.8,FALSE
185,-125.0358,3.0322,586.4,FALSE
186,-125.0348,3.0497,589.8,FALSE
187,-125.0346,3.0563,591.1,FALSE
188,-125.0346,3.1255,604.5,FALSE
189,-125.0334,3.1275,604.9,FALSE
190,-125.0322,2.9992,580.1,FALSE
191,-125.0311,2.9335,567.4,FALSE
192,-125.031,2.8992,560.7,FALSE
193,-125.0319,2.8927,559.5,FALSE
194,-125.0332,2.8862,558.2,FALSE
195,-125.0345,2.9097,562.8,FALSE
196,-125.0352,2.8556,552.3,FALSE
197,-125.0368,2.8629,553.7,FALSE
198,-125.039,2.8046,542.4,FALSE
199,-125.0419,2.8654,554.2,FALSE
200,-125.0459,2.8886,558.7,FALSE
201,-125.0497,2.9263,566,FALSE
202,-125.054,2.8573,552.6,FALSE
203,-125.0572,2.8161,544.7,FALSE
204,-125.0611,2.7718,536.1,FALSE
205,-125.0656,2.7819,538,FALSE
206,-125.0707,2.7556,533,FALSE
207,-125.0753,2.7866,539,FALSE
208,-125.0803,2.8004,541.6,FALSE
209,-125.0862,2.8162,544.7,FALSE
210,-125.0929,2.7785,537.4,FALSE
