Step,E_pot,E_kin,Temp,AddedToTrainingSet
162,-339.4796,10.4842,1267.3,False
163,-339.3763,10.3613,1252.5,False
164,-339.2391,10.1469,1226.6,False
165,-339.0651,10.1489,1226.8,False
166,-338.8578,9.8800,1194.3,False
167,-338.6237,9.5643,1156.1,False
168,-338.3740,9.3310,1127.9,False
169,-338.1154,8.9629,1083.4,False
170,-337.8593,8.7485,1057.5,False
171,-337.6074,8.4891,1026.2,False
172,-337.3722,8.3445,1008.7,False
173,-337.1764,8.0449,972.5,False
174,-337.0135,7.8423,948.0,False
175,-336.8922,7.8798,952.5,False
176,-336.8069,7.7564,937.6,False
177,-336.7582,7.7055,931.4,False
178,-336.7314,7.7283,934.2,False
179,-336.7405,7.8579,949.9,False
180,-336.7883,7.7415,935.8,False
181,-336.8663,7.6649,926.5,False
182,-336.9675,7.6631,926.3,False
183,-337.0838,7.7057,931.5,False
184,-337.2297,7.7845,941.0,False
185,-337.4121,7.9289,958.4,False
186,-337.6249,7.9869,965.5,False
187,-337.8512,8.1596,986.3,False
188,-338.0874,8.3525,1009.7,False
189,-338.3327,8.5222,1030.2,False
190,-338.5830,8.7413,1056.7,False
191,-338.8246,8.9259,1079.0,False
192,-339.0563,9.0565,1094.7,False
193,-339.2719,9.3829,1134.2,False
194,-339.4534,9.3345,1128.4,False
195,-339.5941,9.2400,1116.9,False
196,-339.7036,9.4781,1145.7,False
197,-339.7753,9.4245,1139.2,False
198,-339.8069,9.6111,1161.8,False
199,-339.8042,9.5553,1155.0,False
200,-339.7719,9.5408,1153.3,False
201,-339.7109,9.3633,1131.8,False
202,-339.6265,9.2083,1113.1,False
203,-339.5270,9.0018,1088.1,False
204,-339.4144,8.7384,1056.3,False
205,-339.2985,8.7140,1053.3,False
206,-339.1722,8.5746,1036.5,False
207,-339.0408,8.4464,1021.0,False
208,-338.9131,8.3796,1012.9,False
209,-338.7960,8.3911,1014.3,False
210,-338.6921,8.2230,994.0,False
211,-338.6032,8.0987,979.0,False
212,-338.5229,8.1512,985.3,False
213,-338.4517,8.0786,976.5,False
214,-338.3896,8.0858,977.4,False
215,-338.3356,8.3367,1007.7,False
216,-338.2841,8.2183,993.4,False
217,-338.2394,8.1547,985.7,False
218,-338.2039,8.0651,974.9,False
219,-338.1763,8.0261,970.2,False
220,-338.1508,7.9509,961.1,False
221,-338.1293,7.8564,949.7,False
222,-338.1160,7.8086,943.9,False
223,-338.1182,7.8049,943.5,False
224,-338.1267,7.8574,949.8,False
225,-338.1514,8.0343,971.2,False
226,-338.1856,7.8918,954.0,False
227,-338.2212,7.9529,961.3,False
228,-338.2503,7.9582,962.0,False
229,-338.2794,7.9001,955.0,False
230,-338.3092,7.9704,963.5,False
231,-338.3401,8.0705,975.6,False
232,-338.3610,8.0274,970.4,False
233,-338.3685,8.1113,980.5,False
234,-338.3576,8.2126,992.7,False
235,-338.3371,8.2803,1000.9,False
236,-338.2986,8.1857,989.5,False
237,-338.2448,7.9392,959.7,False
238,-338.1827,7.7503,936.9,False
239,-338.1180,7.8894,953.7,False
240,-338.0468,7.7687,939.1,False
241,-337.9708,7.6810,928.5,False
242,-337.9018,7.7386,935.4,False
243,-337.8389,7.6808,928.5,False
244,-337.7839,7.6241,921.6,False
245,-337.7395,7.5473,912.3,False
246,-337.7015,7.6812,928.5,False
247,-337.6719,7.6220,921.4,False
248,-337.6505,7.6133,920.3,False
249,-337.6440,7.6178,920.8,False
