Step,E_pot,E_kin,Temp,AddedToTrainingSet
160,-326.8270,13.4290,1623.3,False
161,-326.9061,13.2348,1599.8,False
162,-326.9526,13.1323,1587.4,False
163,-326.9723,13.2455,1601.1,False
164,-326.9667,13.6215,1646.6,False
165,-326.9551,13.4349,1624.0,False
166,-326.9363,13.5144,1633.6,False
167,-326.9286,13.7790,1665.6,False
168,-326.9319,13.8892,1678.9,False
169,-326.9474,13.8379,1672.7,False
170,-326.9728,13.7398,1660.9,False
171,-327.0234,13.7155,1657.9,False
172,-327.0901,13.9108,1681.5,False
173,-327.1687,13.8974,1679.9,False
174,-327.2505,13.8330,1672.1,False
175,-327.3336,13.9946,1691.7,False
176,-327.4095,14.0251,1695.4,False
177,-327.4789,14.3838,1738.7,False
178,-327.5621,14.5753,1761.9,False
179,-327.6359,15.1440,1830.6,False
180,-327.6784,15.2891,1848.1,False
181,-327.7019,15.3374,1854.0,False
182,-327.6925,15.3964,1861.1,False
183,-327.6516,15.4409,1866.5,False
184,-327.5796,15.0538,1819.7,False
185,-327.4655,15.1266,1828.5,False
186,-327.3100,14.9526,1807.5,False
187,-327.1259,14.7314,1780.7,False
188,-326.9286,14.6108,1766.2,False
189,-326.7196,14.3808,1738.4,False
190,-326.5121,14.3882,1739.3,False
191,-326.3190,14.4399,1745.5,False
192,-326.1346,14.3740,1737.5,False
193,-325.9630,14.2950,1728.0,False
194,-325.7883,14.0999,1704.4,False
195,-325.6188,13.9372,1684.7,False
196,-325.4677,13.7909,1667.0,False
197,-325.3359,13.5207,1634.4,False
198,-325.2291,13.0403,1576.3,False
199,-325.1540,12.8670,1555.4,False
200,-325.1175,12.5370,1515.5,False
201,-325.1145,12.4982,1510.8,False
202,-325.1448,12.5765,1520.3,False
203,-325.2061,12.8049,1547.9,False
204,-325.2544,12.8872,1557.8,False
205,-325.3060,13.2434,1600.9,False
206,-325.3611,13.1627,1591.1,False
207,-325.4013,13.4146,1621.6,False
208,-325.4178,13.2720,1604.3,False
209,-325.4041,12.9827,1569.4,False
210,-325.3579,12.8513,1553.5,False
211,-325.2929,13.0500,1577.5,False
212,-325.1976,13.2708,1604.2,False
213,-325.0752,13.2490,1601.5,False
214,-325.0533,13.3774,1617.1,True
215,-324.8585,13.2976,1607.4,False
216,-324.6309,13.0764,1580.7,False
217,-324.3873,12.8069,1548.1,False
218,-324.1268,12.4353,1503.2,False
219,-323.8512,12.1069,1463.5,True
220,-323.5650,11.9283,1441.9,False
221,-323.2861,12.0026,1450.9,False
222,-323.0184,12.1064,1463.4,False
223,-322.7530,11.9223,1441.2,False
224,-322.4917,11.6435,1407.5,True
225,-322.2443,11.2753,1363.0,False
226,-322.0372,11.1111,1343.1,False
227,-321.8857,11.3040,1366.4,False
228,-321.7700,11.4056,1378.7,False
229,-321.7068,11.6708,1410.8,True
230,-321.6753,11.5211,1392.7,False
231,-321.6801,11.9182,1440.7,False
232,-321.7295,11.9584,1445.5,False
233,-321.8299,11.9299,1442.1,False
234,-321.9533,12.1679,1470.9,True
235,-322.0723,12.4057,1499.6,False
236,-322.1999,12.9832,1569.4,False
237,-322.3123,12.6774,1532.4,False
238,-322.4196,12.7908,1546.2,False
239,-322.5291,12.8077,1548.2,True
240,-322.6258,12.7941,1546.6,False
241,-322.7225,12.6697,1531.5,False
242,-322.8120,12.9060,1560.1,False
243,-322.8980,12.9743,1568.3,False
244,-322.9675,13.2272,1598.9,True
245,-323.0270,13.4560,1626.6,False
246,-323.0894,13.7467,1661.7,False
247,-323.1461,14.0717,1701.0,False
248,-323.1898,14.5577,1759.7,False
249,-323.2235,14.6011,1765.0,True
250,-323.2347,14.6297,1768.4,False
251,-323.2287,14.7417,1782.0,False
252,-323.2038,15.1269,1828.5,False
253,-323.1695,14.9735,1810.0,False
254,-323.1133,14.9972,1812.9,True
255,-323.0418,15.2082,1838.4,False
256,-322.9556,15.2236,1840.2,False
257,-322.8629,14.9843,1811.3,False
258,-322.7611,14.8510,1795.2,False
259,-322.6461,14.6239,1767.7,True
260,-322.5038,14.5511,1758.9,False
261,-322.3365,14.3125,1730.1,False
262,-322.1738,14.3249,1731.6,False
263,-322.0043,14.1496,1710.4,False
264,-321.8415,13.9508,1686.4,True
265,-321.6622,13.8179,1670.3,False
266,-321.4673,13.2988,1607.6,False
267,-321.2576,13.0280,1574.8,False
268,-321.0610,12.9668,1567.4,False
269,-320.8659,12.7752,1544.3,True
270,-320.6654,12.3329,1490.8,False
271,-320.4687,12.2116,1476.1,False
272,-320.2990,12.0614,1458.0,False
273,-320.1550,11.8920,1437.5,False
274,-320.0330,12.0485,1456.4,True
275,-319.9495,11.6163,1404.2,False
276,-319.9245,11.7163,1416.3,False
277,-319.9561,11.7831,1424.3,False
278,-320.0582,11.9756,1447.6,False
279,-320.2275,12.2343,1478.9,True
280,-320.4621,12.7644,1543.0,False
281,-320.7347,13.2094,1596.8,False
282,-321.0452,13.8111,1669.5,False
283,-321.3898,14.2017,1716.7,False
284,-321.7516,14.3291,1732.1,True
285,-322.1198,14.3720,1737.3,False
286,-322.4747,14.7050,1777.5,False
287,-322.8113,14.9533,1807.6,False
288,-323.1060,15.3615,1856.9,False
289,-323.3401,15.8048,1910.5,True
290,-323.5132,15.6150,1887.5,False
291,-323.6310,15.8898,1920.8,False
292,-323.6887,16.0601,1941.4,False
293,-323.6972,16.2595,1965.5,False
294,-323.6542,16.2394,1963.0,True
295,-323.5628,15.9480,1927.8,False
296,-323.4311,16.4138,1984.1,False
297,-323.2695,16.0267,1937.3,False
298,-323.0808,15.4241,1864.5,False
299,-322.8807,15.3385,1854.1,True
300,-322.6690,14.8487,1794.9,False
301,-322.4435,14.5702,1761.2,False
302,-322.2172,14.5215,1755.4,False
303,-321.9853,14.2721,1725.2,False
304,-321.7657,14.0950,1703.8,True
305,-321.5583,13.7855,1666.4,False
306,-321.3687,13.8639,1675.9,False
307,-321.2063,13.6698,1652.4,False
308,-321.0549,13.4717,1628.5,False
309,-320.9115,13.3654,1615.6,True
310,-320.8023,13.2326,1599.6,False
311,-320.7377,13.2478,1601.4,False
312,-320.7118,13.1898,1594.4,False
313,-320.7175,13.1295,1587.1,False
314,-320.7409,13.4197,1622.2,True
315,-320.7767,13.6637,1651.7,False
316,-320.8249,13.7005,1656.1,False
317,-320.8701,13.6466,1649.6,False
318,-320.9001,13.8306,1671.9,False
319,-320.9350,14.2272,1719.8,True
320,-320.9639,14.1786,1713.9,False
321,-320.9894,14.4830,1750.7,False
322,-321.0009,14.4527,1747.0,False
323,-321.0036,14.2925,1727.7,False
324,-320.9938,14.2001,1716.5,True
325,-320.9875,14.4213,1743.3,False
326,-320.9832,14.5559,1759.5,False
327,-320.9754,14.9571,1808.0,False
328,-320.9599,14.8581,1796.0,False
329,-320.9327,14.8582,1796.1,True
330,-320.8920,15.0264,1816.4,False
331,-320.8460,15.0405,1818.1,False
332,-320.7821,15.0785,1822.7,False
333,-320.7154,14.6714,1773.5,False
334,-320.6518,14.3883,1739.3,True
335,-320.5987,14.4803,1750.4,False
336,-320.5373,14.8385,1793.7,False
337,-320.4765,15.0199,1815.6,False
338,-320.4351,15.2076,1838.3,False
339,-320.4002,15.2257,1840.5,True
340,-320.3751,14.9630,1808.7,False
341,-320.3543,15.2255,1840.5,False
342,-320.3446,15.2237,1840.2,False
343,-320.3469,15.5711,1882.2,False
344,-320.3440,15.8272,1913.2,True
345,-320.3362,15.6918,1896.8,False
346,-320.3236,15.7578,1904.8,False
347,-320.3072,15.5903,1884.6,False
348,-320.2726,15.5767,1882.9,False
349,-320.2199,15.5818,1883.5,True
350,-320.1838,15.4608,1868.9,False
351,-320.1358,15.4042,1862.1,False
352,-320.0707,15.4550,1868.2,False
353,-320.0113,15.1879,1835.9,False
354,-319.9843,15.0630,1820.8,True
355,-319.9674,15.3940,1860.8,False
356,-319.9609,15.3359,1853.8,False
357,-319.9432,15.2161,1839.3,False
358,-319.9287,15.2513,1843.6,False
359,-319.9081,15.1093,1826.4,True
360,-319.8868,15.4514,1867.8,False
361,-319.8409,16.1806,1955.9,False
362,-319.7675,16.4412,1987.4,False
363,-319.6515,16.3296,1973.9,False
364,-319.5021,15.8004,1910.0,True
365,-319.3163,15.7342,1902.0,False
366,-319.1018,15.5461,1879.2,False
367,-318.8655,15.2647,1845.2,False
368,-318.5941,15.0441,1818.5,False
369,-318.3016,14.6035,1765.3,True
370,-318.0068,13.9956,1691.8,False
371,-317.7245,13.9068,1681.1,False
372,-317.4542,13.8177,1670.3,False
373,-317.1911,13.6694,1652.4,False
374,-316.9424,13.3956,1619.3,True
375,-316.7034,13.5025,1632.2,False
376,-316.4825,13.3077,1608.6,False
377,-316.2947,13.1943,1594.9,False
378,-316.1455,13.1742,1592.5,False
379,-316.0596,12.8729,1556.1,True
380,-316.0555,12.7316,1539.0,False
381,-316.1128,12.6580,1530.1,False
382,-316.2224,12.6687,1531.4,False
383,-316.3805,12.6956,1534.6,False
