Step,E_pot,E_kin,Temp,AddedToTrainingSet
0,-297.7239,19.6462,2374.8,False
1,-297.6753,19.5340,2361.3,False
2,-297.6113,19.8039,2393.9,False
3,-297.5385,19.6823,2379.2,False
4,-297.4601,19.8860,2403.8,False
5,-297.3646,19.9478,2411.3,False
6,-297.2482,20.0385,2422.3,False
7,-297.1154,19.8323,2397.3,False
8,-296.9767,19.5077,2358.1,False
9,-296.8427,19.3800,2342.7,False
10,-296.6972,19.7523,2387.7,False
11,-296.5451,19.7835,2391.4,False
12,-296.3893,19.6411,2374.2,False
13,-296.2355,19.6251,2372.3,False
14,-296.0869,20.1591,2436.8,False
15,-295.9588,20.0465,2423.2,False
16,-295.8620,19.8483,2399.3,False
17,-295.7968,19.7785,2390.8,False
18,-295.7662,19.2172,2323.0,False
19,-295.7838,19.1834,2318.9,False
20,-295.8437,19.3459,2338.5,False
21,-295.9412,19.3123,2334.5,False
22,-296.0711,19.7161,2383.3,False
23,-296.2226,19.7804,2391.1,False
24,-296.4012,20.0184,2419.8,False
25,-296.5892,20.1423,2434.8,False
26,-296.7701,20.1263,2432.9,False
27,-296.9444,20.5667,2486.1,False
28,-297.1099,20.7215,2504.8,False
29,-297.2589,21.2269,2565.9,False
30,-297.3842,20.8978,2526.1,False
31,-297.4862,21.1653,2558.5,False
32,-297.5588,21.0867,2549.0,False
33,-297.6041,21.1297,2554.2,False
34,-297.6109,21.2321,2566.5,False
35,-297.5756,21.2829,2572.7,False
36,-297.4948,20.8047,2514.9,False
37,-297.3605,20.5009,2478.2,False
38,-297.1861,20.4194,2468.3,False
39,-296.9660,19.9345,2409.7,False
40,-296.6931,19.5907,2368.1,False
41,-296.3826,19.5756,2366.3,False
42,-296.0370,18.9512,2290.8,False
43,-295.6875,18.7152,2262.3,False
44,-295.3631,18.0983,2187.7,False
45,-295.0688,17.7691,2147.9,False
46,-294.8001,17.3576,2098.2,False
47,-294.5754,16.8992,2042.8,False
48,-294.3766,17.1061,2067.8,False
49,-294.2215,16.5951,2006.0,False
50,-294.1073,16.2438,1963.6,False
51,-294.0287,16.3068,1971.2,False
52,-293.9901,16.0112,1935.4,False
53,-293.9907,16.0174,1936.2,False
54,-294.0287,16.3671,1978.5,False
55,-294.0880,16.6223,2009.3,False
56,-294.1757,16.6088,2007.7,False
57,-294.2714,16.6732,2015.5,False
58,-294.4006,16.8150,2032.6,False
59,-294.5602,17.2447,2084.6,False
60,-294.7519,17.3418,2096.3,False
61,-294.9621,17.7048,2140.2,False
62,-295.1901,18.3320,2216.0,False
63,-295.4267,18.2883,2210.7,False
64,-295.6722,18.3577,2219.1,False
65,-295.9138,18.5803,2246.0,False
66,-296.1425,18.6126,2249.9,False
67,-296.3672,18.8626,2280.1,False
68,-296.5939,18.8149,2274.3,False
69,-296.8190,18.8408,2277.5,False
70,-297.0406,18.9339,2288.7,False
71,-297.2448,19.0167,2298.7,False
72,-297.4430,19.5641,2364.9,False
73,-297.6256,19.3678,2341.2,False
74,-297.7896,19.8331,2397.4,False
75,-297.9159,19.8894,2404.2,False
76,-298.0080,20.1620,2437.2,False
77,-298.0634,20.4413,2470.9,False
78,-298.0819,20.2478,2447.6,False
79,-298.0911,20.0591,2424.8,False
80,-298.0778,20.1896,2440.5,False
81,-298.0509,20.4248,2469.0,False
82,-298.0335,20.2179,2444.0,False
83,-298.0297,20.0219,2420.3,False
84,-298.0405,20.1175,2431.8,False
85,-298.0659,19.6631,2376.9,False
86,-298.0947,19.7355,2385.6,False
87,-298.1397,19.9249,2408.5,False
88,-298.2038,19.6610,2376.6,False
