Step,E_pot,E_kin,Temp,AddedToTrainingSet
0,-126.5760,1.5000,290.1,False
1,-126.5782,1.5109,292.2,False
2,-126.5801,1.5441,298.6,False
3,-126.5819,1.5623,302.2,False
4,-126.5845,1.5800,305.6,False
5,-126.5870,1.6174,312.8,False
6,-126.5896,1.6462,318.4,False
7,-126.5923,1.7040,329.6,False
8,-126.5949,1.7973,347.6,False
9,-126.5977,1.7732,343.0,False
10,-126.6010,1.8242,352.8,False
11,-126.6038,1.8645,360.6,False
12,-126.6051,1.9219,371.7,False
13,-126.6059,1.9181,371.0,False
14,-126.6058,1.9482,376.8,False
15,-126.6053,1.9765,382.3,False
16,-126.6049,2.0410,394.8,False
17,-126.6043,2.0289,392.4,False
18,-126.6033,2.0581,398.1,False
19,-126.6021,2.0553,397.5,False
20,-126.6008,2.0877,403.8,False
21,-126.5991,2.1235,410.7,False
22,-126.5975,2.1497,415.8,False
23,-126.5955,2.0892,404.1,False
24,-126.5931,2.0697,400.3,False
25,-126.5913,2.1059,407.3,False
26,-126.5898,2.1403,413.9,False
27,-126.5881,2.1331,412.6,False
28,-126.5863,2.1180,409.6,False
29,-126.5842,2.1286,411.7,False
30,-126.5817,2.1317,412.3,False
31,-126.5791,2.1133,408.7,False
32,-126.5769,2.1260,411.2,False
33,-126.5751,2.1483,415.5,False
34,-126.5735,2.1489,415.6,False
35,-126.5717,2.1583,417.4,False
36,-126.5693,2.1675,419.2,False
37,-126.5670,2.2200,429.4,False
38,-126.5642,2.2290,431.1,False
39,-126.5614,2.2150,428.4,False
40,-126.5585,2.2612,437.3,False
41,-126.5555,2.3290,450.4,False
42,-126.5522,2.3742,459.2,False
43,-126.5486,2.3883,461.9,False
44,-126.5446,2.3211,448.9,False
45,-126.5401,2.2764,440.3,False
46,-126.5348,2.3115,447.1,False
47,-126.5290,2.2659,438.2,False
48,-126.5226,2.2292,431.1,False
49,-126.5154,2.2331,431.9,False
50,-126.5076,2.3234,449.4,False
51,-126.4996,2.3260,449.9,False
52,-126.4917,2.3415,452.9,False
53,-126.4831,2.2752,440.0,False
54,-126.4756,2.2657,438.2,False
55,-126.4680,2.2283,431.0,False
56,-126.4610,2.2447,434.1,False
57,-126.4548,2.3146,447.7,False
58,-126.4483,2.3241,449.5,False
59,-126.4422,2.3849,461.3,False
60,-126.4361,2.3636,457.1,False
61,-126.4297,2.3587,456.2,False
62,-126.4226,2.3815,460.6,False
63,-126.4156,2.3878,461.8,False
64,-126.4084,2.3778,459.9,False
65,-126.4006,2.4135,466.8,False
66,-126.3929,2.3975,463.7,False
67,-126.3856,2.3925,462.7,False
68,-126.3790,2.3987,463.9,False
69,-126.3731,2.4435,472.6,False
70,-126.3667,2.3821,460.7,False
71,-126.3600,2.4242,468.9,False
72,-126.3533,2.3969,463.6,False
73,-126.3462,2.3876,461.8,False
74,-126.3392,2.3924,462.7,False
75,-126.3323,2.4161,467.3,False
76,-126.3261,2.3775,459.8,False
77,-126.3204,2.3428,453.1,False
78,-126.3148,2.3893,462.1,False
79,-126.3093,2.4251,469.0,False
80,-126.3043,2.3899,462.2,False
81,-126.2995,2.3822,460.7,False
82,-126.2940,2.4677,477.3,False
83,-126.2883,2.4665,477.0,False
84,-126.2825,2.4340,470.8,False
85,-126.2760,2.4715,478.0,False
86,-126.2688,2.4774,479.2,False
87,-126.2609,2.4906,481.7,False
88,-126.2527,2.5531,493.8,False
89,-126.2440,2.5993,502.7,False
90,-126.2354,2.5855,500.1,False
91,-126.2271,2.6351,509.7,False
92,-126.2186,2.6272,508.1,False
93,-126.2103,2.6358,509.8,False
94,-126.2013,2.6416,510.9,False
95,-126.1919,2.5660,496.3,False
96,-126.1824,2.6350,509.6,False
97,-126.1730,2.6479,512.1,False
98,-126.1631,2.7049,523.2,False
99,-126.1524,2.7567,533.2,False
100,-126.1413,2.7527,532.4,False
101,-126.1305,2.6400,510.6,False
102,-126.1197,2.6142,505.6,False
103,-126.1085,2.6059,504.0,False
104,-126.0973,2.5938,501.7,False
105,-126.0862,2.6537,513.3,False
106,-126.0741,2.5668,496.4,False
107,-126.0616,2.5971,502.3,False
108,-126.0490,2.6099,504.8,False
109,-126.0355,2.6050,503.8,False
110,-126.0221,2.5634,495.8,False
111,-126.0084,2.4698,477.7,False
112,-125.9955,2.4300,470.0,False
113,-125.9825,2.4576,475.3,False
114,-125.9694,2.4621,476.2,False
115,-125.9566,2.4445,472.8,False
116,-125.9448,2.4549,474.8,False
117,-125.9330,2.4604,475.9,False
118,-125.9206,2.4599,475.8,False
119,-125.9083,2.4901,481.6,False
120,-125.8959,2.5010,483.7,False
121,-125.8823,2.4915,481.9,False
122,-125.8687,2.3996,464.1,False
123,-125.8553,2.3488,454.3,False
124,-125.8417,2.3072,446.2,False
125,-125.8283,2.3332,451.3,False
126,-125.8160,2.3315,450.9,False
127,-125.8043,2.3334,451.3,False
128,-125.7924,2.2388,433.0,False
129,-125.7803,2.1783,421.3,False
130,-125.7678,2.1590,417.6,False
131,-125.7552,2.1277,411.5,False
132,-125.7422,2.1865,422.9,False
133,-125.7287,2.2115,427.7,False
134,-125.7149,2.1567,417.1,False
135,-125.7018,2.1270,411.4,False
136,-125.6893,2.1722,420.1,False
137,-125.6778,2.1816,421.9,False
138,-125.6657,2.1447,414.8,False
139,-125.6530,2.1059,407.3,False
140,-125.6404,2.0855,403.3,False
141,-125.6273,2.1554,416.9,False
142,-125.6148,2.1999,425.5,False
143,-125.6025,2.2394,433.1,False
144,-125.5900,2.2763,440.2,False
145,-125.5784,2.2319,431.7,False
146,-125.5672,2.1884,423.3,False
147,-125.5566,2.2338,432.0,False
148,-125.5460,2.3162,448.0,False
149,-125.5355,2.2627,437.6,False
150,-125.5264,2.3059,446.0,False
151,-125.5178,2.3281,450.3,False
152,-125.5097,2.4016,464.5,False
153,-125.5016,2.4664,477.0,False
154,-125.4938,2.4781,479.3,False
155,-125.4867,2.4497,473.8,False
156,-125.4792,2.4207,468.2,False
157,-125.4718,2.3583,456.1,False
158,-125.4653,2.2924,443.4,False
159,-125.4587,2.2388,433.0,False
160,-125.4528,2.2361,432.5,False
161,-125.4475,2.2452,434.2,False
162,-125.4433,2.2739,439.8,False
163,-125.4384,2.2602,437.1,False
164,-125.4338,2.1572,417.2,False
165,-125.4292,2.1439,414.6,False
166,-125.4248,2.1347,412.9,False
167,-125.4207,2.1619,418.1,False
168,-125.4177,2.1303,412.0,False
169,-125.4145,2.0704,400.4,False
170,-125.4115,2.0795,402.2,False
171,-125.4087,2.0876,403.8,False
172,-125.4059,2.1556,416.9,False
173,-125.4038,2.2561,436.3,False
174,-125.4013,2.2701,439.1,False
175,-125.3991,2.2001,425.5,False
176,-125.3977,2.2809,441.2,False
177,-125.3964,2.2702,439.1,False
178,-125.3954,2.2735,439.7,False
179,-125.3939,2.2789,440.8,False
180,-125.3924,2.3263,449.9,False
181,-125.3913,2.3806,460.4,False
182,-125.3904,2.3845,461.2,False
183,-125.3898,2.2867,442.3,False
184,-125.3886,2.2560,436.3,False
185,-125.3875,2.2273,430.8,False
186,-125.3865,2.2757,440.1,False
187,-125.3858,2.2600,437.1,False
188,-125.3855,2.3029,445.4,False
189,-125.3854,2.2992,444.7,False
190,-125.3843,2.2691,438.9,False
191,-125.3827,2.3339,451.4,False
192,-125.3809,2.3115,447.1,False
193,-125.3785,2.2651,438.1,False
194,-125.3764,2.2452,434.3,False
195,-125.3738,2.1746,420.6,False
196,-125.3722,2.1475,415.3,False
197,-125.3711,2.1786,421.4,False
198,-125.3705,2.1994,425.4,False
199,-125.3695,2.1823,422.1,False
200,-125.3677,2.1966,424.8,False
201,-125.3665,2.2401,433.3,False
202,-125.3657,2.2505,435.3,False
203,-125.3645,2.3066,446.1,False
204,-125.3633,2.2644,438.0,False
205,-125.3630,2.2125,427.9,False
206,-125.3627,2.2065,426.8,False
207,-125.3620,2.3142,447.6,False
208,-125.3616,2.2535,435.8,False
209,-125.3619,2.3675,457.9,False
210,-125.3633,2.3922,462.7,False
211,-125.3649,2.3831,460.9,False
212,-125.3661,2.3808,460.5,False
213,-125.3672,2.4449,472.9,False
214,-125.3676,2.4663,477.0,False
215,-125.3680,2.5203,487.4,False
216,-125.3686,2.5142,486.3,False
217,-125.3697,2.5829,499.6,False
218,-125.3710,2.5752,498.1,False
219,-125.3728,2.5577,494.7,False
220,-125.3753,2.5541,494.0,False
221,-125.3780,2.6388,510.4,False
222,-125.3814,2.6117,505.1,False
223,-125.3859,2.6087,504.5,False
224,-125.3916,2.6336,509.4,False
225,-125.3978,2.7070,523.6,False
226,-125.4048,2.7640,534.6,False
227,-125.4112,2.7644,534.7,False
228,-125.4191,2.7536,532.6,False
229,-125.4284,2.8079,543.1,False
230,-125.4380,2.8300,547.4,False
231,-125.4462,2.8385,549.0,False
232,-125.4547,2.9368,568.0,False
233,-125.4644,3.0165,583.4,False
234,-125.4750,2.9611,572.7,False
235,-125.4862,2.9549,571.5,False
236,-125.4980,2.8560,552.4,False
237,-125.5095,2.8978,560.5,False
238,-125.5205,2.8808,557.2,False
239,-125.5310,2.8943,559.8,False
240,-125.5406,2.8532,551.8,False
241,-125.5496,2.8445,550.1,False
242,-125.5593,2.9086,562.5,False
243,-125.5683,2.8601,553.2,False
244,-125.5768,2.8450,550.2,False
245,-125.5857,2.8336,548.0,False
246,-125.5947,2.8348,548.3,False
247,-125.6031,2.9035,561.6,False
248,-125.6110,2.8414,549.5,False
249,-125.6184,2.8546,552.1,False
250,-125.6262,2.8682,554.7,False
251,-125.6331,2.9134,563.5,False
252,-125.6395,2.9893,578.2,False
253,-125.6454,3.0393,587.8,False
254,-125.6504,3.0691,593.6,False
255,-125.6543,3.0828,596.2,False
256,-125.6570,3.0749,594.7,False
257,-125.6592,3.0611,592.0,False
258,-125.6607,2.9968,579.6,False
259,-125.6624,3.0233,584.7,False
260,-125.6634,3.1085,601.2,False
261,-125.6634,3.0500,589.9,False
262,-125.6634,3.0590,591.6,False
263,-125.6630,3.0794,595.6,False
264,-125.6625,3.0441,588.8,False
265,-125.6610,3.0167,583.4,False
266,-125.6589,2.9720,574.8,False
267,-125.6568,2.9408,568.8,False
268,-125.6537,2.9283,566.4,False
269,-125.6502,2.8917,559.3,False
270,-125.6463,2.8448,550.2,False
271,-125.6424,2.8448,550.2,False
272,-125.6381,2.7670,535.2,False
273,-125.6331,2.7375,529.4,False
274,-125.6279,2.6955,521.3,False
275,-125.6219,2.6597,514.4,False
276,-125.6154,2.6667,515.8,False
277,-125.6094,2.6645,515.3,False
278,-125.6032,2.6633,515.1,False
279,-125.5978,2.6786,518.1,False
280,-125.5923,2.7639,534.6,False
281,-125.5871,2.7659,534.9,False
282,-125.5812,2.7680,535.3,False
283,-125.5748,2.7784,537.4,False
284,-125.5686,2.7397,529.9,False
285,-125.5623,2.7147,525.0,False
286,-125.5558,2.7988,541.3,False
287,-125.5500,2.7424,530.4,False
288,-125.5446,2.8003,541.6,False
289,-125.5392,2.7745,536.6,False
290,-125.5339,2.7498,531.8,False
291,-125.5286,2.7250,527.0,False
292,-125.5233,2.7857,538.8,False
293,-125.5178,2.7568,533.2,False
294,-125.5125,2.7442,530.8,False
295,-125.5080,2.7528,532.4,False
296,-125.5047,2.7739,536.5,False
297,-125.5024,2.7780,537.3,False
298,-125.5001,2.7758,536.9,False
299,-125.4976,2.7541,532.7,False
300,-125.4954,2.7945,540.5,False
301,-125.4932,2.7574,533.3,False
302,-125.4919,2.7042,523.0,False
303,-125.4913,2.6511,512.7,False
304,-125.4909,2.6592,514.3,False
305,-125.4917,2.7145,525.0,False
306,-125.4924,2.6792,518.2,False
307,-125.4939,2.6725,516.9,False
308,-125.4966,2.6555,513.6,False
309,-125.4996,2.6663,515.7,False
310,-125.5022,2.6886,520.0,False
311,-125.5054,2.7608,534.0,False
312,-125.5087,2.7575,533.3,False
313,-125.5124,2.7487,531.6,False
314,-125.5164,2.7218,526.4,False
315,-125.5199,2.6658,515.6,False
316,-125.5234,2.7182,525.7,False
317,-125.5271,2.7614,534.1,False
318,-125.5311,2.8276,546.9,False
319,-125.5350,2.9183,564.4,False
320,-125.5390,2.9722,574.9,False
321,-125.5434,3.0031,580.8,False
322,-125.5477,3.0411,588.2,False
323,-125.5515,3.0439,588.7,False
324,-125.5555,3.0321,586.4,False
325,-125.5592,2.9638,573.2,False
326,-125.5632,3.0053,581.3,False
327,-125.5670,3.0285,585.7,False
328,-125.5712,3.1354,606.4,False
329,-125.5752,3.0424,588.4,False
330,-125.5785,3.0571,591.3,False
331,-125.5827,2.9798,576.3,False
332,-125.5855,2.9630,573.1,False
333,-125.5884,3.0031,580.8,False
334,-125.5904,3.1091,601.3,False
335,-125.5921,3.1142,602.3,False
336,-125.5936,3.1801,615.1,False
337,-125.5955,3.2041,619.7,False
338,-125.5971,3.1948,617.9,False
339,-125.5976,3.1631,611.8,False
340,-125.5981,3.1427,607.8,False
341,-125.5983,3.1226,603.9,False
342,-125.5975,3.1352,606.4,False
343,-125.5964,3.1099,601.5,False
344,-125.5950,3.1339,606.1,False
345,-125.5931,3.1664,612.4,False
346,-125.5905,3.2068,620.2,False
347,-125.5877,3.1975,618.4,False
348,-125.5844,3.2760,633.6,False
349,-125.5810,3.1846,615.9,False
350,-125.5771,3.3059,639.4,False
351,-125.5730,3.2577,630.1,False
352,-125.5685,3.2190,622.6,False
353,-125.5634,3.2114,621.1,False
